,Number_offenses,Code,Code_Desc,Date,Time,Address,City,State,Zip,Code_Cat_abbrv,Crime Category,Crime Name,Address_numbers,Street_name
294269,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-06-04,700.0,5900 NORTH KINGS HWY,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",5900.0,NORTH KINGS HWY
295861,1.0,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-05-28,1000.0,2600 JEFFERSON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,LOST/FOUND PROPERTY,2600.0,JEFFERSON DR
296371,1.0,SERV-1,SERVICE - POLICE SERVICE,2021-05-26,544.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,SERV,SERVICE,POLICE SERVICE,5800.0,MONTICELLO RD
297160,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-05-23,1704.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",2800.0,FAIRHAVEN AVE
297739,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-05-21,2355.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
298155,1.0,SUSP-2,SUSPICIOUS - PERSON,2021-05-19,1144.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SUSP,SUSPICIOUS,PERSON,2800.0,FAIRHAVEN AVE
298158,2.0,SERV-999,POLICE PHONE REPORT,2021-05-19,1144.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,FAIRHAVEN AVE
299241,1.0,LARC-280-1,"STOLEN PROPERTY: BUYING, RECEIVING, POSSESSING",2021-05-14,448.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,LARC,LARCENY,,5800.0,MONTICELLO RD
299242,2.0,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE,2021-05-14,448.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,PUB,PUBLIC SAFETY,OBSTRUCTION OF JUSTICE,5800.0,MONTICELLO RD
299267,2.0,SERV-999,POLICE PHONE REPORT,2021-05-14,2130.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,FAIRHAVEN AVE
299298,1.0,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-05-14,2130.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,DEST,DESTRUCTION,PRIVATE PROPERTY,2800.0,FAIRHAVEN AVE
299381,1.0,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-05-14,2137.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,SERV,SERVICE,DOMESTIC DISPUTE,2800.0,FAIRHAVEN AVE
299495,1.0,AUTO-240-4,AUTO THEFT - AUTOS,2021-05-13,2330.0,2700 JEFFERSON DR,ALEXANDRIA,VA,22303.0,AUTO,AUTO THEFT,AUTOS,2700.0,JEFFERSON DR
299671,2.0,SERV-999,POLICE PHONE REPORT,2021-05-13,1900.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,5800.0,MONTICELLO RD
299672,1.0,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2021-05-13,1900.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,TRES,TRESPASSING,PRIVATE PROPERTY,5800.0,MONTICELLO RD
299740,1.0,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-05-12,0.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,LARC,LARCENY,THEFT FROM MOTOR VEHICLE,2800.0,FARMINGTON DR
299741,2.0,SERV-999,POLICE PHONE REPORT,2021-05-12,0.0,2800 FARMINGTON DR,ALEXANDRIA,VA,22303.0,SERV,SERVICE,,2800.0,FARMINGTON DR
302187,1.0,ASSLT-13B-1,"ASSAULT - SIMPLE, NOT AGGRAVATED",2021-05-02,1053.0,5800 MONTICELLO RD,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,"SIMPLE, NOT AGGRAVATED",5800.0,MONTICELLO RD
302894,1.0,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,2021-04-29,543.0,2800 FAIRHAVEN AVE,ALEXANDRIA,VA,22303.0,ASSLT,ASSAULT,TELEPHONE THREATS/ABUSE/OBSCENE,2800.0,FAIRHAVEN AVE
